File,distance
31,15
32,14.5
33,14
34,13.5
35,13
36,12.5
37,12
38,11.5
39,11
40,11
41,10.5
42,10
43,9.5
44,9
45,8.5
46,8
47,7.5
48,7
49,6.5
50,6
51,5.5
52,5
53,4.5
54,4
55,3.5
56,3
57,2.5
58,2
59,1.5
60,1
61,0.5
62,0
