File,Corriente (mA)
241,0
242,10
243,20
244,30
245,40
246,50
247,60
248,70
249,80
250,90
251,100
252,110
253,120
254,130
255,140
256,150
257,160
258,170
259,180
260,190
261,200
262,210
263,220
264,230
265,240
266,250
267,260
268,270
269,280
270,290
271,300
272,310
273,320
274,330
275,340
276,350
